,Username,Datetime,Text,Symbol,Sentiment
556,Microsoft,2021-04-14 16:23:00+00:00,any aries im not mad im just wondering why you took so long to join the meeting you im actually two minutes early ,MSFT,4
557,Microsoft,2021-04-13 22:30:00+00:00,research suggests that the future of work is hybrid heres how to prepare and foster a dynamic work world ,MSFT,0
558,Microsoft,2021-04-13 19:04:26+00:00,inable is revolutionizing how blind and low vision students take exams learn more about the microsoft ai for accessibility grant recipient ,MSFT,1
559,Microsoft,2021-04-13 16:45:00+00:00, one of the things that i feel the most proud of as a company is when you go drop yourself anywhere on the planet there will be a microsoft partner ecosystem more from ceo satyanadella on how were working with organizations in crn ,MSFT,1
560,Microsoft,2021-04-12 12:36:23+00:00,were excited to accelerate our industry cloud strategy for healthcare with the acquisition of nuance combining solutions and expertise to deliver new cloud and ai capabilities across healthcare and other industries ,MSFT,4
561,Microsoft,2021-04-10 16:03:17+00:00,the mashup you never knew you needed ,MSFT,0
567,Microsoft,2021-04-09 22:00:01+00:00,linkedin career expert catherine fisher explains that the focus on skills over qualifications opens the doors for both employers and job seekers more from gma on how were partnering with linkedin to build a more inclusive economy ,MSFT,0
568,Microsoft,2021-04-09 19:03:00+00:00,microsofts most recent logo unveiled in august ,MSFT,0
580,Microsoft,2021-04-09 16:03:01+00:00,if someone asks you where microsoft started the most accurate response is somewhere between a harvard dorm room and the american southwest the original office building in albuquerque new mexico is pictured here ,MSFT,0
592,Microsoft,2021-04-08 23:03:01+00:00,just found this old photo of my cousin from the s those eyebrows though perfection ,MSFT,0
593,Microsoft,2021-04-08 22:15:00+00:00,miss catching up with your coworkers in the office caf a recent study in the uk found that of remote workers agree dive into the full report ,MSFT,-1
594,Microsoft,2021-04-08 21:03:00+00:00,to xbox mcdonalds cc spotify subject checking in how are you all doing today lets catch up talk soon person who runs the microsoft account,MSFT,0
607,Microsoft,2021-04-08 20:15:00+00:00,ronak sutaria is determined to use data to change indias air quality for the better heres how ,MSFT,4
608,Microsoft,2021-04-08 19:03:00+00:00,in microsoft released a new design that would serve as the company logo for the next years ,MSFT,0
609,Microsoft,2021-04-08 17:45:00+00:00,good intentions alone dont make real progress to create meaningful change we must educate ourselves on bias covering and allyship start exploring ,MSFT,2
610,Microsoft,2021-04-08 16:03:40+00:00,these business cards are from microsofts first office leased in theyre also funky ,MSFT,2
621,Microsoft,2021-04-07 23:00:00+00:00,from plastic waste to a global pandemic these four women are channeling the power of to tackle some of societys toughest problems check out how ,MSFT,-3
622,Microsoft,2021-04-07 21:03:00+00:00,normalize pausing for questions and allowing silence in meetings ,MSFT,0
623,Microsoft,2021-04-07 20:30:00+00:00,were introducing new features that make it easier to collaborate in a work from anywhere world heres whats ahead ,MSFT,0
631,Microsoft,2021-04-07 19:03:20+00:00,the blibbet microsoft unveiled a new logo in ,MSFT,0
632,Microsoft,2021-04-07 17:45:00+00:00,were partnering with accenture to speed up the uks mission to achieve net zero carbon emissions by heres to a brighter more future ,MSFT,0
633,Microsoft,2021-04-07 16:03:13+00:00,a page from the earliest known code for basic for the altair copyright ,MSFT,0
647,Microsoft,2021-04-06 23:00:00+00:00,real progress doesnt happen without real work get started on your diversity amp inclusion journey ,MSFT,2
667,Microsoft,2021-04-06 21:03:00+00:00,did you actually know how to play minesweeper or did you just click around until the game ended ,MSFT,0
668,Microsoft,2021-04-06 20:30:07+00:00, liquid cooling enables us to go denser and thus continue the moores law trend at the datacenter level see how microsoft is using boiling liquid to cool computer servers in a datacenter ,MSFT,1
669,Microsoft,2021-04-06 18:15:00+00:00,muted and unmuted again a wfh tale ,MSFT,0
670,Microsoft,2021-04-06 17:15:01+00:00,basic for the altair k and k was microsofts first shipping product and its first format was paper tape pictured below is an actual copy of the original software ,MSFT,0
671,Microsoft,2021-04-06 16:34:22+00:00,heavy metal a short lived microsoft logo from ,MSFT,0
692,Microsoft,2021-04-05 21:03:03+00:00, stockholm sweden ,MSFT,0
693,Microsoft,2021-04-05 20:15:00+00:00,tuuuune squad weve joined forces with kingjames and spacejammovie to create learn to code lessons for all ages ,MSFT,0
694,Microsoft,2021-04-05 19:30:00+00:00,in the st year of our commitment to becoming carbon negative by we reduced our carbon emissions by roughly metric tons thats equivalent to greenhouse gas emissions from passenger vehicles driven for year our progress report ,MSFT,2
706,Microsoft,2021-04-05 18:43:01+00:00,groovy microsofts first logo was introduced in ,MSFT,0
707,Microsoft,2021-04-05 17:33:00+00:00,you thank you your second monitor its no problem at all ,MSFT,3
708,Microsoft,2021-04-05 16:03:01+00:00,fun fact bill and paul noticed the altair on the cover of popular electronics magazine the altair had an intel microprocessor as its brain and that meant that people could write real software for it ,MSFT,7
710,amazon,2021-05-17 19:17:52+00:00,brendan a senior ux design manager advocates for inclusion and accessibility at amazon while helming the people with disabilities affinity group within the company he does all of this while maintaining a mighty impressive beard see brendans story ,AMZN,3
739,amazon,2021-05-15 14:32:39+00:00,good morning from our rockford illinois air hub ,AMZN,3
746,amazon,2021-05-14 20:01:36+00:00,learn more and start exploring ,AMZN,0
747,amazon,2021-05-14 20:00:48+00:00,with amazon explore you can see the world from the comfort of home prime members can even book their first experience for free which city is first on your explore list ,AMZN,3
760,amazon,2021-05-13 19:58:54+00:00,what was on your vs whats in your hand soap hand soa hand s hand han ha ham hamm hammo hammoc hammock,AMZN,2
793,amazon,2021-05-11 20:59:00+00:00,were making it easier to find the best price on medication with or without insurance customers can compare prime savings at amazon pharmacy amp local pharmacies across the us check co pay costs quickly amp easily online at amazon pharmacy,AMZN,2
834,amazon,2021-05-09 13:58:52+00:00,thank you moms ,AMZN,2
847,amazon,2021-05-07 20:38:51+00:00, it doesnt cost anything to be kind and do what you need to do to be a good person in the world we love this random act of kindness from an amazon delivery driver who took the time to put an american flag back in its rightful spot ,AMZN,8
911,amazon,2021-05-06 14:00:28+00:00,we want to give moms the appreciation they deserve this comment below and tell us about a special mom in your life and well send back a personalized message just for her ,AMZN,3
954,amazon,2021-05-03 19:51:46+00:00,moms sometimes its okay for you to drop a hint for what you really want this rt this poll to share whats really at the top of your list ,AMZN,3
978,amazon,2021-05-01 16:28:33+00:00,challenge you have points build your dream backyard with emojis patio furniture firepit pool hammock garden string lights yard games ,AMZN,0
1004,amazon,2021-04-30 16:43:50+00:00, take the lead a new essay on motherhood from author jessicasimpson is now available exclusively on amazonpub prime members read and listen for free ,AMZN,1
1013,amazon,2021-04-29 22:58:34+00:00,just because is coming to a close doesnt mean you cant get your daily fix of poetry goodness sign up for poem a day from poetsorg supported by the amazon literary partnership ,AMZN,5
1018,amazon,2021-04-29 20:59:41+00:00,hey alexa whats prime day ,AMZN,0
1122,amazon,2021-04-23 19:38:32+00:00,best birthday ever when we heard that this year old fan loved our planes we set up a full tour of our site at lakeland airport in florida ,AMZN,9
1123,amazon,2021-04-23 17:33:16+00:00,happy within the past year these books brought joy to customers nationwide which one is on your reading list ,AMZN,6
1135,amazon,2021-04-22 15:00:01+00:00,these are just a few of the ways were helping learn more ,AMZN,2
1136,amazon,2021-04-22 15:00:01+00:00,were making smarter packaging choices with smaller and lighter packages so we can pack more orders into every delivery and make fewer trips and burn less fuel ,AMZN,2
1137,amazon,2021-04-22 15:00:00+00:00,were working to power our operations with renewable energy by years ahead of schedule and roll out electric delivery vehicles by to help reduce carbon emissions ,AMZN,2
1138,amazon,2021-04-22 15:00:00+00:00,look for the climate pledge friendly badge when shopping to find products that meet sustainability standards according to trusted certifiers ,AMZN,4
1139,amazon,2021-04-22 15:00:00+00:00,climate change is an urgent issue and were using our size and scale to help protect our environment and communities heres what were doing to reach net zero carbon by and help you shop more sustainably ,AMZN,5
1152,amazon,2021-04-21 16:29:32+00:00, alexa where can i get a covid vaccine alexa can now help find a vaccination site near you ,AMZN,2
1158,amazon,2021-04-21 03:37:01+00:00,black lives matter ,AMZN,1
1186,amazon,2021-04-18 16:30:33+00:00, reminder catch up on all the oscar nominated amazon originals on primevideo before the awards are given out ,AMZN,3
1188,amazon,2021-04-17 16:08:47+00:00, add to cart on prime something to look forward to waiting by the door ,AMZN,0
1206,amazon,2021-04-15 19:56:31+00:00,celebrate with something new for your reading list now through april th check out kindle books from around the world for ,AMZN,3
1240,amazon,2021-04-14 15:53:47+00:00,the perfect hump day treat ,AMZN,3
1286,amazon,2021-04-12 18:34:55+00:00,we want to know when are you most likely to fill up your cart ,AMZN,1
1301,amazon,2021-04-11 15:33:51+00:00, happy its im paws ible not to smile when you watch these happy pet moments ,AMZN,8
1414,Google,2021-05-17 18:04:51+00:00,how many layers does it take to get to the center of a googlequantumai computer find out at on may am pacific ,GOOG,0
1416,Google,2021-05-17 17:00:47+00:00,we talked to our top experts and asked them to telegraph the future of security heres what we learned ,GOOG,2
