,Username,Date,Time,Text,Sentiment
426,PGelsinger,2021-04-09,22:34:36,the potus american jobs plan proposes important investments to upgrade our nations infrastructure including billion in semiconductor investments this program will create jobs and put us on a path to u s innovation leadership for decades to come ,3
427,PGelsinger,2021-04-08,13:49:50,great to see deep dive coverage on bloomberg of such a critical topic gregorymbryant i could not have said it better myself ,5
428,PGelsinger,2021-04-07,15:08:00,what an incredible effort across intel and its partners to make an impact of such magnitude across our communities through the pandemic response technology initiative proud to say this work will continue ,2
429,PGelsinger,2021-04-06,15:22:31,congratulations to all the teams across intel for delivering our latest rd gen scalable processors our customers the world leading csps and businesses will be able to faster deploy services at scale via intelnews,2
430,ChuckRobbins,2021-05-17,18:36:44,im thrilled to welcome mariapoveromo to ciscos executive leadership team as our new svp and chief communications officer congratulations maria ,9
431,ChuckRobbins,2021-05-17,17:54:48,on this international day against homophobia transphobia interphobia and biphobia we are reminded of the importance of fighting against discrimination in all its forms cisco continues to stand as an ally to the lgbtqia community ,2
432,ChuckRobbins,2021-05-14,20:05:35,congratulations to the amazing cisco mexico team for being named on the gptw mexico list for the th year running this is truly something to be proud of thanks for all you do each day for our customers and communities cisco la,10
433,ChuckRobbins,2021-05-14,13:33:40,im thrilled that kennasecurity will be joining our cisco team the threat surface is larger than ever and their risk based vulnerability management capabilities will help us continue to simplify security for our customers ciscosecure,1
434,ChuckRobbins,2021-05-12,13:55:49,im excited to welcome socioevents to cisco their end to end event management platform will help us continue to create inclusive hybrid meeting and event experiences that are x better for all participants ,9
435,ChuckRobbins,2021-05-11,21:11:35,love this thanks chris ,5
436,ChuckRobbins,2021-05-11,14:33:06,congratulations to preskmjohnson and lisasu for being named recipients of the ieeeawards this is an incredible achievement and a testament to your amazing work and leadership were proud to have you both on our cisco board of directors ,8
437,ChuckRobbins,2021-05-11,13:58:35,were thrilled to announce our intent to acquire sedonasystems and to welcome the team to cisco together with cisco crosswork sedona netfusion will help us accelerate our routed optical networking strategy ,9
438,ChuckRobbins,2021-05-10,19:36:33,great run keith congrats ,5
439,ChuckRobbins,2021-05-09,15:21:05,happy mothers day to my wife my mother and all the amazing mothers everywhere thanks for all you do every day the most important job ,11
440,ChuckRobbins,2021-05-08,13:37:07,happy birthday and thanks for all you are doing in our communities ronnielotthof ,5
441,ChuckRobbins,2021-05-06,13:07:30,true heroes ,2
